epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1029,1.49936,2.78033,1.23717,0.00639,0.94415,0.32087,0.18299,1.20984,3.36968,1.08,0.000541419,0.000541419,0.000541419
2,91.3015,1.42317,1.80328,1.16129,0.61546,0.0739,0.57031,0.33117,1.33189,2.88238,1.21182,0.00107536,0.00107536,0.00107536
3,127.238,1.45574,1.68653,1.19812,0.73449,0.48097,0.61756,0.35062,1.39259,2.10549,1.22024,0.0015873,0.0015873,0.0015873
